,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-11 04:00:00-05:00,228.79,229.79,228.62,229.79,0,0,0
2023-01-11 05:00:00-05:00,229.7,229.84,229.34,229.61,0,0,0
2023-01-11 06:00:00-05:00,229.6,229.66,228.93,229.29,0,0,0
2023-01-11 07:00:00-05:00,229.28,229.83,228.93,229.43,0,0,0
2023-01-11 08:00:00-05:00,229.37,230.68,227.23,230.42,0,0,0
2023-01-11 09:00:00-05:00,230.4485,230.88,230.0,230.21,0,0,0
2023-01-11 09:30:00-05:00,231.2899932861328,233.86990356445312,231.11000061035156,233.5449981689453,7016935,0,0
2023-01-11 10:30:00-05:00,233.55999755859375,233.8800048828125,232.17039489746094,233.41000366210938,2646469,0,0
2023-01-11 11:30:00-05:00,233.41000366210938,234.2899932861328,233.11000061035156,233.72999572753906,2641363,0,0
2023-01-11 12:30:00-05:00,233.74000549316406,234.52999877929688,233.07000732421875,233.97500610351562,2012625,0,0
2023-01-11 13:30:00-05:00,233.97999572753906,234.25,233.75,233.77000427246094,1774142,0,0
2023-01-11 14:30:00-05:00,233.78500366210938,234.6678924560547,233.6699981689453,234.27999877929688,2876283,0,0
2023-01-11 15:30:00-05:00,234.27000427246094,235.9499969482422,234.0500030517578,235.7899932861328,3813459,0,0
2023-01-11 16:00:00-05:00,235.79,236.0,234.4466,235.52,0,0,0
2023-01-11 17:00:00-05:00,235.55,243.6309,235.11,235.55,0,0,0
2023-01-11 18:00:00-05:00,235.65,235.77,234.2401,235.5,0,0,0
