,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-11 04:00:00-05:00,118.63,119.91,118.21,119.72,0,0,0
2023-01-11 05:00:00-05:00,119.75,119.85,119.3,119.75,0,0,0
2023-01-11 06:00:00-05:00,119.76,119.86,119.02,119.26,0,0,0
2023-01-11 07:00:00-05:00,119.24,122.11,119.21,121.08,0,0,0
2023-01-11 08:00:00-05:00,121.06,122.11,118.68,121.465,0,0,0
2023-01-11 09:00:00-05:00,121.5,121.9,121.08,121.7385,0,0,0
2023-01-11 09:30:00-05:00,122.08999633789062,125.94999694824219,120.51000213623047,125.05999755859375,61053436,0,0
2023-01-11 10:30:00-05:00,125.04499816894531,125.05999755859375,122.05000305175781,122.63999938964844,34945204,0,0
2023-01-11 11:30:00-05:00,122.62000274658203,123.38999938964844,122.19999694824219,122.5199966430664,17872441,0,0
2023-01-11 12:30:00-05:00,122.54000091552734,122.77999877929688,121.5,122.05000305175781,18843818,0,0
2023-01-11 13:30:00-05:00,122.04290008544922,122.58360290527344,121.63999938964844,122.08000183105469,14025043,0,0
2023-01-11 14:30:00-05:00,122.07499694824219,122.89990234375,121.27999877929688,122.87239837646484,18951059,0,0
2023-01-11 15:30:00-05:00,122.875,123.2699966430664,122.13500213623047,123.20860290527344,13548729,0,0
2023-01-11 16:00:00-05:00,123.2,123.27,115.485,123.1,0,0,0
2023-01-11 17:00:00-05:00,123.11,123.22,123.05,123.19,0,0,0
2023-01-11 18:00:00-05:00,123.18,123.19,122.0801,123.1,0,0,0
